"group_id","category","field","raw_value","normalized_raw_value","current_normalized_value","occurrence_count","candidate_canonical_value","candidate_rationale","candidate_confidence","ambiguity","approval_status","accepted_mapping","source_references"
"398B1A06430E00E06891CC804863BC95B90D4F18151AD1287548C7EC9C1CEA71","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Heo đùi mông ( đặc tề sẵn)","Heo đùi mông ( đặc tề sẵn)","Heo đùi mông ( đặc tề sẵn)","2","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:1240; 12.TS Dì Tài:1246"
"4B8CC6307CB0877BFC135E9F9AE374BA60F0B3916496209FF739C1B2439E0AB6","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Heo đùi mông ( lựa miếng nạc, đặc tề sẵn)","Heo đùi mông ( lựa miếng nạc, đặc tề sẵn)","Heo đùi mông ( lựa miếng nạc, đặc tề sẵn)","2","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:989; 12.TS Dì Tài:1016"
"18AEF1D30F50E6FC222DBBFA3020A9A014F5CD7B1299FFDFC31258A70C83AFEE","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Heo đùi mông (tề sẵn)","Heo đùi mông (tề sẵn)","Heo đùi mông (tề sẵn)","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:289"
"5C90E05EA2ED810E1E170E6595208C6E42451F64A29081727313F068D5461A26","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Heo mỡ có da","Heo mỡ có da","Heo mỡ có da","2","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:1123; 12.TS Dì Tài:1157"
"7599F158304FB5C2145AE5C290C6CD5023EC8C10054A5FEE9CC0E6BDBC81AF6A","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Lá lót to ( để gói)","Lá lót to ( để gói)","Lá lót to ( để gói)","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","1.Rau:10964"
"82008D5815559FB7AD9B36DC84FD7925A1E2C0D2B706448A93692221B7BC531B","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Lòng bò","Lòng bò","Lòng bò","3","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:1001; 12.TS Dì Tài:1071; 12.TS Dì Tài:1124"
"48F1471667B39E591728F0732EB116AA9FCA8E49842A4CF9EFFE2B545888463E","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Mắm nêm dì cẩn","Mắm nêm dì cẩn","Mắm nêm dì cẩn","6","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","2.G.Vi:951; 2.G.Vi:985; 2.G.Vi:986; 2.G.Vi:1029; 2.G.Vi:1039; 2.G.Vi:1041"
"06353D65E2E840470F642BB3C55A4999049A1BB40AAEB56008702B15F9BA2F32","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Măng xắt","Măng xắt","Măng xắt","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","1.Rau:10306"
"F362193D49E35D5E74581B722B3C3F08E106F11F3BCA1A8D3907DED2D2CDFCF4","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Mỡ","Mỡ","Mỡ","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:1217"
"D9A58EF2EC192178C60457CAE6EE7FF961EC0B67DDA1D0243C46AA64BB852092","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Mỡ đặc có da","Mỡ đặc có da","Mỡ đặc có da","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:1252"
"6D5EEB43C3214B9BDDD1DF736760FEBE6D778988EB89E36C84C9510BF3DA9450","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Nấm bào ngư","Nấm bào ngư","Nấm bào ngư","77","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","1.Rau:7458; 1.Rau:7491; 1.Rau:7520; 1.Rau:7573; 1.Rau:7614; 1.Rau:7645; 1.Rau:7693; 1.Rau:7790; 1.Rau:7864; 1.Rau:7899; 1.Rau:7952; 1.Rau:8048; 1.Rau:8096; 1.Rau:8177; 1.Rau:8220; 1.Rau:8258; 1.Rau:8292; 1.Rau:8388; 1.Rau:8422; 1.Rau:8515; 1.Rau:8542; 1.Rau:8644; 1.Rau:8696; 1.Rau:8737; 1.Rau:8802; 1.Rau:8838; 1.Rau:9120; 1.Rau:9202; 1.Rau:9280; 1.Rau:9322; 1.Rau:9365; 1.Rau:9425; 1.Rau:9460; 1.Rau:9559; 1.Rau:9641; 1.Rau:9721; 1.Rau:9755; 1.Rau:9806; 1.Rau:9841; 1.Rau:9863; 1.Rau:9897; 1.Rau:9982; 1.Rau:10015; 1.Rau:10052; 1.Rau:10170; 1.Rau:10206; 1.Rau:10250; 1.Rau:10290; 1.Rau:10321; 1.Rau:10377; 1.Rau:10399; 1.Rau:10503; 1.Rau:10536; 1.Rau:10572; 1.Rau:10604; 1.Rau:10739; 1.Rau:10789; 1.Rau:10874; 1.Rau:10906; 1.Rau:10947; 1.Rau:10994; 1.Rau:11034; 1.Rau:11065; 1.Rau:11113; 1.Rau:11158; 1.Rau:11193; 1.Rau:11230; 1.Rau:11283; 1.Rau:11312; 1.Rau:11352; 1.Rau:11400; 1.Rau:11445; 1.Rau:11496; 1.Rau:11542; 1.Rau:11590; 9.Chay:978; 9.Chay:1185"
"3119F4D89AC3AF8D8348E6AAE8A25551C12CA6601D3B9CFA692859A6BF2767D6","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Nấm bào ngừ","Nấm bào ngừ","Nấm bào ngừ","2","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","1.Rau:10133; 1.Rau:11565"
"4B27EB6EC6138A2E5411E4AFF498D92529E07B9E033569C87EC6BDCBD8E894C0","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Ớt chuông đỏ vàng","Ớt chuông đỏ vàng","Ớt chuông đỏ vàng","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","1.Rau:11048"
"0AC3432B314265A1642555ABDBCB11FBD25EA0B3DE0E2BE9C8332052EF591C01","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Ớt chuông vàng xanh","Ớt chuông vàng xanh","Ớt chuông vàng xanh","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","1.Rau:10420"
"8214CCD87868A684D2C2574B6FA98B80C5B863D0208C8D969AD077D7E566B863","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Ớt chuông xanh","Ớt chuông xanh","Ớt chuông xanh","2","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","1.Rau:10746; 1.Rau:10832"
"CB7B401DCEB06D6E28481E092EE6F645AF9B7305082C19D72FFE476DBE4246FE","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Ớt chuông xanh đỏ","Ớt chuông xanh đỏ","Ớt chuông xanh đỏ","2","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","1.Rau:11561; 1.Rau:11649"
"F1324027C5608ACCB0F1DEEFBCD3E96D5A289B3542E809D2C3F8F7E6AD56411B","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Pa ro","Pa ro","Pa ro","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","1.Rau:9949"
"85694C27489EEC0ACE5A80B85808D899078E48279BCE6E9F8B03AB1D9AB9E15E","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Phúc chúc chay","Phúc chúc chay","Phúc chúc chay","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","2.G.Vi:1050"
"4F4AEC793782C0CB409D4CCFFA667F9B158A5902F392F702C0EEF72DEEF0EA8A","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Rau củ thập cẩm","Rau củ thập cẩm","Rau củ thập cẩm","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","1.Rau:11245"
"A0D41626CA6D8CCA6D162BBE575CBDDBC7F5339304D36A64A3C4A4857A151FBE","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Sườn dừa chay","Sườn dừa chay","Sườn dừa chay","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","9.Chay:1199"
"26C2B37C4AD5FD3DAD5A2F4F7A6C3DCE60A9886B0FB88C14F6E734F887C6ED77","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Sườn heo pater","Sườn heo pater","Sườn heo pater","3","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","11.ĐL TT:357; 11.ĐL TT:413; 11.ĐL TT:420"
"CAE11137F506DB3F87021720D60BCE4A63FF2882FC5C7498FD7C64DC14F8CED9","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Thăn bò","Thăn bò","Thăn bò","2","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:1216; 12.TS Dì Tài:1259"
"8192A6417AD8153B4F46C831C7AE7DD473344B6053C25BFF39F34A788C751D10","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Thịt bò dẻ sườn","Thịt bò dẻ sườn","Thịt bò dẻ sườn","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:1105"
"48C7CCD92C38AA81703D97659541A4A511A64A76BEDFF44C3E6188D36B5A6DB0","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Thịt mỡ đặc có da","Thịt mỡ đặc có da","Thịt mỡ đặc có da","2","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:1242; 12.TS Dì Tài:1266"
"CADC03D1B08D12079A3F83F03A026591D35DF0F54B04AF87C766C82D55F1EBC3","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Thịt mỡ tấm","Thịt mỡ tấm","Thịt mỡ tấm","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:1065"
"13484479E297B461F149029D49C520B24DAAAC9819E04880EE14BA2FE8ABE891","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Thịt mỡ tấm có da","Thịt mỡ tấm có da","Thịt mỡ tấm có da","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:1210"
"6B30E083A51270D57549BDFC35A1E4AFF571F00F53B842C3FCEEE41DFC147E2B","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Tỏi cánh gà","Tỏi cánh gà","Tỏi cánh gà","2","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","11.ĐL TT:379; 11.ĐL TT:417"
"E109D3B5B4332237B5AB82F12FFF2313B5CA6A5FE2F2B890A4119CE3AD6DDB17","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Tương ớt chai","Tương ớt chai","Tương ớt chai","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","2.G.Vi:1021"
"946EC9A80F863668DA768AE424453CBEAD50DD674C92375D4E1D82D09D167E9C","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Xương giá heo","Xương giá heo","Xương giá heo","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:1153"
"90A3154C3715D3DF7B3A7B53215F7D0E85778D1BDFF1C96973B5D7C7A5A569DF","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Xương heo- chặt cục nạc (17cục/2,5kg)","Xương heo- chặt cục nạc (17cục/2,5kg)","Xương heo- chặt cục nạc (17cục/2,5kg)","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:1236"
"28E47305C2C4A13C5A79C72D56BB63BD7ED93DFC1A74AA0F21F1DB6A4CFA4DCC","INGREDIENT_CATALOG_AMBIGUOUS","Tên hàng","Xương mềm ( có thịt)","Xương mềm ( có thịt)","Xương mềm ( có thịt)","1","","The normalized ingredient does not resolve to exactly one active catalog record; canonical ingredient review is required.","none","True","pending","","12.TS Dì Tài:970"
